tgl/bln/thn;suhu ;kelembapan (%);curah hujan(mm);tekanan(kPa);kecepatang angin(m/s)
01/01/2015;24.4;91.11;4.87;100.03;1.0
02/01/2015;24.93;90.06;0.36;100.04;0.97
03/01/2015;25.57;86.6;0.28;100.05;1.0
04/01/2015;25.22;89.77;2.19;99.94;0.96
05/01/2015;25.67;86.73;1.28;99.87;0.81
06/01/2015;25.76;88.06;0.23;99.79;0.77
07/01/2015;25.75;87.81;1.42;99.82;1.24
08/01/2015;25.35;90.96;9.45;99.95;0.86
09/01/2015;25.16;90.31;2.47;100.02;1.08
10/01/2015;25.92;86.88;1.22;99.92;0.78
11/01/2015;25.81;85.48;0.11;99.93;0.95
12/01/2015;26.11;86.7;0.0;99.91;1.24
13/01/2015;26.22;87.48;1.7;99.93;1.1
14/01/2015;25.15;91.85;13.22;100.05;0.94
15/01/2015;26.0;88.03;0.97;100.03;1.11
16/01/2015;25.61;87.08;0.9;100.05;1.06
17/01/2015;25.24;86.56;1.22;100.0;1.09
18/01/2015;24.4;90.72;10.04;100.14;0.86
19/01/2015;24.62;90.59;0.33;100.13;0.9
20/01/2015;25.14;87.87;0.38;100.23;0.76
21/01/2015;25.33;87.85;0.31;100.31;0.76
22/01/2015;24.7;91.73;27.58;100.23;1.37
23/01/2015;24.79;89.29;15.88;100.1;0.88
24/01/2015;25.53;88.51;5.43;100.09;0.64
25/01/2015;25.18;91.42;11.24;100.16;1.07
26/01/2015;24.26;93.34;7.64;100.12;0.8
27/01/2015;25.38;89.43;1.97;99.95;1.06
28/01/2015;25.93;87.25;2.7;99.87;0.47
29/01/2015;25.43;88.51;1.87;99.97;0.96
30/01/2015;25.03;91.46;10.17;100.1;0.72
31/01/2015;24.92;93.31;10.56;100.11;1.07
01/02/2015;25.0;86.68;2.34;100.08;1.24
02/02/2015;24.85;87.5;0.29;100.2;1.12
03/02/2015;24.91;86.11;0.07;100.25;1.24
04/02/2015;24.87;87.47;2.39;100.15;1.09
05/02/2015;25.19;90.64;11.47;100.07;1.06
06/02/2015;25.08;90.79;15.25;100.1;0.99
07/02/2015;25.29;90.02;11.16;100.06;0.98
08/02/2015;25.43;88.15;3.48;100.04;1.0
09/02/2015;25.45;87.12;2.99;100.07;1.18
10/02/2015;25.23;86.67;0.47;100.07;1.36
11/02/2015;24.47;88.69;3.56;100.05;1.07
12/02/2015;25.31;87.83;1.07;99.92;1.13
13/02/2015;25.2;88.27;0.1;99.91;1.12
14/02/2015;25.93;87.31;1.38;99.91;0.9
15/02/2015;25.69;88.81;0.87;99.9;0.48
16/02/2015;25.91;89.32;1.51;99.87;0.77
17/02/2015;25.65;88.91;7.58;99.91;0.38
18/02/2015;25.38;89.53;22.03;99.93;1.41
19/02/2015;24.61;90.01;6.47;100.09;1.1
20/02/2015;25.57;86.05;0.84;100.07;0.73
21/02/2015;25.86;88.07;3.41;99.94;0.68
22/02/2015;26.02;88.52;3.74;99.9;0.86
23/02/2015;25.49;89.5;2.61;100.05;1.34
24/02/2015;25.77;86.88;0.21;99.99;0.94
25/02/2015;26.4;85.67;0.43;99.88;0.53
26/02/2015;26.36;86.71;0.26;99.84;0.51
27/02/2015;26.24;86.24;1.42;99.77;0.72
28/02/2015;25.73;87.23;3.45;99.9;1.24
01/03/2015;25.82;89.42;15.69;99.95;0.97
02/03/2015;24.8;92.32;9.95;100.02;0.58
03/03/2015;25.45;83.91;0.06;99.98;0.67
04/03/2015;25.8;86.55;2.09;100.0;0.62
05/03/2015;25.71;87.84;1.85;100.04;0.69
06/03/2015;25.75;85.47;1.39;100.05;0.9
07/03/2015;26.2;85.16;4.11;99.99;0.39
08/03/2015;25.35;87.08;1.1;100.1;0.56
09/03/2015;25.42;89.47;1.53;100.15;0.67
10/03/2015;25.08;89.69;13.39;100.16;0.88
11/03/2015;24.38;94.36;15.04;100.18;0.61
12/03/2015;25.58;84.36;0.38;100.21;0.82
13/03/2015;25.93;86.79;2.15;100.1;0.72
14/03/2015;25.79;87.5;3.51;100.19;0.66
15/03/2015;25.19;92.69;31.07;100.25;0.81
16/03/2015;26.07;86.81;1.25;100.15;0.4
17/03/2015;26.64;86.27;2.53;99.97;0.35
18/03/2015;26.54;89.32;4.45;99.84;0.74
19/03/2015;25.47;90.83;5.81;99.92;0.85
20/03/2015;25.35;87.96;6.51;100.03;1.15
21/03/2015;25.85;90.12;17.15;100.08;0.83
22/03/2015;26.71;85.39;4.39;100.03;0.73
23/03/2015;26.11;89.27;14.8;99.95;0.39
24/03/2015;26.06;91.48;8.6;99.94;0.74
25/03/2015;25.46;93.48;12.45;100.01;0.5
26/03/2015;25.23;92.48;3.37;100.15;0.74
27/03/2015;25.78;88.17;3.28;100.12;0.77
28/03/2015;26.61;87.43;0.95;99.92;0.71
29/03/2015;26.27;91.11;24.07;99.88;0.75
30/03/2015;26.72;88.81;4.64;99.91;0.67
31/03/2015;26.95;86.81;3.23;99.91;0.82
01/04/2015;26.69;88.73;8.2;99.85;0.61
02/04/2015;26.52;91.39;21.45;99.78;0.91
03/04/2015;26.3;89.64;20.71;99.76;0.65
04/04/2015;26.11;89.62;14.5;99.69;0.72
05/04/2015;25.3;94.2;11.99;99.72;0.67
06/04/2015;25.7;91.1;0.4;99.7;0.92
07/04/2015;26.2;89.57;1.07;99.73;0.85
08/04/2015;26.04;91.88;6.98;99.81;0.95
09/04/2015;26.37;90.21;12.45;99.87;0.96
10/04/2015;26.64;87.27;8.77;99.93;0.68
11/04/2015;26.94;85.95;7.65;99.95;1.0
12/04/2015;26.52;87.55;15.1;100.08;0.65
13/04/2015;25.11;90.61;14.7;100.08;0.77
14/04/2015;25.95;87.72;1.73;99.88;0.29
15/04/2015;24.69;93.56;8.56;100.08;1.06
16/04/2015;25.66;86.66;6.67;100.1;0.8
17/04/2015;26.1;87.38;9.89;100.0;0.23
18/04/2015;26.78;86.9;22.4;99.9;0.36
19/04/2015;25.39;91.16;6.27;99.98;0.62
20/04/2015;25.84;88.66;0.56;99.96;0.46
21/04/2015;26.47;87.99;5.87;99.9;0.47
22/04/2015;26.03;89.71;6.54;99.93;0.64
23/04/2015;25.61;89.61;10.31;100.0;0.7
24/04/2015;25.26;92.31;10.68;99.99;1.04
25/04/2015;25.71;89.45;3.88;99.94;0.63
26/04/2015;26.17;89.33;5.73;99.96;0.6
27/04/2015;25.21;92.83;12.62;100.03;0.53
28/04/2015;26.46;87.82;3.4;99.94;0.61
29/04/2015;26.45;88.39;29.69;99.97;0.39
30/04/2015;26.19;87.48;4.97;100.0;0.65
01/05/2015;25.97;87.32;3.69;100.02;0.76
02/05/2015;26.56;83.84;2.03;99.97;0.58
03/05/2015;24.94;89.24;5.6;100.1;1.34
04/05/2015;25.62;88.04;0.0;100.01;0.7
05/05/2015;26.44;87.28;1.67;99.84;0.25
06/05/2015;26.7;88.18;4.24;99.78;0.53
07/05/2015;25.92;90.06;15.95;99.86;0.98
08/05/2015;26.18;93.17;38.74;99.79;1.31
09/05/2015;26.84;87.26;0.66;99.77;0.67
10/05/2015;26.35;89.82;0.0;99.79;1.2
11/05/2015;26.71;88.68;1.19;99.82;0.93
12/05/2015;26.52;92.96;11.12;99.83;1.05
13/05/2015;26.37;94.51;7.88;99.84;0.81
14/05/2015;26.04;94.01;12.42;99.92;1.31
15/05/2015;26.18;90.97;5.27;100.03;0.3
16/05/2015;26.16;91.29;8.14;99.94;1.02
17/05/2015;26.5;89.91;3.3;99.82;0.57
18/05/2015;26.68;89.77;1.58;99.89;0.65
19/05/2015;26.41;92.13;4.48;99.95;0.71
20/05/2015;26.27;86.77;4.66;99.97;0.79
21/05/2015;27.19;88.45;0.36;99.88;1.13
22/05/2015;26.9;88.66;0.4;99.94;1.3
23/05/2015;26.37;89.71;0.25;99.97;1.21
24/05/2015;26.22;89.81;0.02;99.93;1.14
25/05/2015;26.36;88.67;3.91;99.91;1.16
26/05/2015;25.71;93.43;11.18;100.02;1.07
27/05/2015;25.75;91.6;1.6;99.95;0.92
28/05/2015;25.95;90.17;0.68;99.87;0.83
29/05/2015;25.97;90.93;0.82;99.93;0.87
30/05/2015;26.38;88.24;0.05;99.91;1.09
31/05/2015;26.64;84.67;1.02;99.81;0.83
01/06/2015;26.6;85.49;2.79;99.78;0.61
02/06/2015;26.01;90.63;8.65;99.85;0.69
03/06/2015;26.36;89.98;1.72;99.84;0.79
04/06/2015;26.26;91.08;3.49;99.76;1.03
05/06/2015;26.57;89.96;5.5;99.72;0.7
06/06/2015;25.98;93.66;11.45;99.73;1.08
07/06/2015;25.6;93.59;4.34;99.82;1.02
08/06/2015;25.9;89.76;4.8;99.85;0.69
09/06/2015;26.11;90.25;2.18;99.85;0.65
10/06/2015;26.16;90.47;4.85;99.86;0.65
